path,label,cobb_deg,grade,n_vertebrae,mean_curv,sift_n,orb_n,angle_L1,angle_L2,angle_L3,angle_L4,angle_L5
data\achondroplasia\achron-033.jpg,achondroplasia,0.26612634882835096,Normal,1,0.07172497602029963,500,500,-86.58800733177645,,,,
data\achondroplasia\achron-034.jpg,achondroplasia,92.61534300329217,Severe,4,0.1656805686826063,332,313,-22.876430007367485,-0.3560339842848802,-76.55117583872786,16.064167164564303,
data\achondroplasia\achron-035.jpg,achondroplasia,119.26770930935709,Severe,5,0.052387628286039316,500,500,89.89625338010161,6.953728616466671,-0.881267811694623,-29.371455929255468,59.906459326503054
data\achondroplasia\achron-036.jpg,achondroplasia,176.5780755353552,Severe,2,0.2057546252465139,500,500,-4.008644923470485,-89.3155146855435,,,
data\achondroplasia\achron-037.jpg,achondroplasia,174.71870764078164,Severe,5,0.20892206686097375,500,480,-1.510529101756512,-1.9962546200347524,13.941427731199225,-9.223077596168004,-69.12518286247821
data\achondroplasia\achron-038.jpg,achondroplasia,169.67887238468478,Severe,5,0.13120763770364335,500,500,61.99031344081288,49.41328813051335,-89.68202627518015,79.99684610950465,-13.95327347389319
data\achondroplasia\achron-039.jpg,achondroplasia,0.5915841025801711,Normal,2,0.2389354246422136,250,305,-0.2428792545107841,0.0,,,
data\achondroplasia\achron-040.jpg,achondroplasia,179.81874277791042,Severe,1,0.09008611145292952,500,500,-14.31003558217339,,,,
data\achondroplasia\achron-041.jpg,achondroplasia,161.41302051757123,Severe,3,0.05363694452930724,501,342,-5.477440601934521,-83.24947886205395,-87.60670481949097,,
data\achondroplasia\achron-042.jpg,achondroplasia,178.74170818015858,Severe,2,0.32189860030133893,500,500,10.409405788640063,8.123801591579472,,,
data\achondroplasia\achron-043.jpg,achondroplasia,178.17799485721827,Severe,2,0.06285827388395049,500,500,-0.2437494915693167,-84.10072194735233,,,
data\achondroplasia\achron-044.jpg,achondroplasia,77.4254205908145,Severe,5,0.10506628940269615,496,383,-14.421319444305047,53.957439523593855,56.66026003277985,63.00410114650945,59.88836364852017
data\achondroplasia\achron-045.jpg,achondroplasia,0.012191707911640037,Normal,1,0.6795591970380777,501,500,-89.96922080693517,,,,
data\achondroplasia\achron-046.jpg,achondroplasia,77.71208476597026,Severe,3,0.40058794091273864,500,500,-9.741753887834278,-30.057593749054003,-87.45383865380454,,
data\achondroplasia\achron-047.jpg,achondroplasia,173.50412379209484,Severe,2,0.516852710114896,500,500,62.85459778378845,20.61788266412694,,,
data\achondroplasia\achron-048.jpg,achondroplasia,80.95888369626289,Severe,4,0.4002739252351618,500,500,-34.70121607197447,-0.544212804744179,-78.82093030050564,2.1379533957572523,
data\achondroplasia\achron-049.jpg,achondroplasia,177.42412852579335,Severe,5,0.6259398406270089,500,455,-44.44665725505453,-26.270346829444268,-27.958382204057582,6.337490583860157,54.93031806686744
data\achondroplasia\achron-050.jpg,achondroplasia,0.7934992148544353,Normal,1,0.6149809364157874,59,46,-89.78497149364375,,,,
data\achondroplasia\achron-051.jpg,achondroplasia,178.31702150694593,Severe,1,0.208559464128588,500,500,-1.4678973917965896,,,,
data\achondroplasia\achron-052.jpg,achondroplasia,168.49712152731854,Severe,2,0.4821773625225154,500,500,-56.9736618756203,74.23425460878016,,,
data\achondroplasia\achron-053.jpg,achondroplasia,179.79542244164367,Severe,1,0.3492672552923937,438,427,-7.892549527141398,,,,
data\achondroplasia\achron-054.jpg,achondroplasia,178.55639132400432,Severe,3,0.37782982001175075,500,500,-85.6629526312778,8.57159142421242,-3.06672245710925,,
data\achondroplasia\achron-055.jpg,achondroplasia,177.44453629576304,Severe,5,0.27430902966037823,500,432,-19.014428714182305,-3.383657092770504,-16.499641496416306,-1.850891309688551,18.401271356412057
data\achondroplasia\achron-056.jpg,achondroplasia,47.60753412971952,Severe,5,0.15012154896341282,500,298,6.9793714425829245,25.718460812598245,-21.889073317121273,-5.847405168193712,15.82743399881729
data\achondroplasia\achron-057.jpg,achondroplasia,177.87492300602503,Severe,1,0.3272878656126724,501,500,23.69614561696199,,,,
data\achondroplasia\achron-058.jpg,achondroplasia,179.37273094949603,Severe,5,0.13475832583145694,500,500,-13.917121773455086,-12.110423479101792,-69.29648357881426,1.720858888573095,-5.06356920410274
